file,algorithm,time,value
kp_10_269,bruteforce,0.0044219493865966,295.0
kp_10_269,greedy,3.600120544433594e-05,294.0
kp_10_269,dynamic,0.0008809566497802,295.0
kp_10_60,bruteforce,0.0136346817016601,52.0
kp_10_60,greedy,4.601478576660156e-05,52.0
kp_10_60,dynamic,0.00101900100708,52.0
kp_20_878,bruteforce,4.716431140899658,1024.0
kp_20_878,greedy,4.982948303222656e-05,1018.0
kp_20_878,dynamic,0.0064809322357177,1024.0
kp_20_879,bruteforce,4.647526979446411,1025.0
kp_20_879,greedy,4.506111145019531e-05,1019.0
kp_20_879,dynamic,0.0065338611602783,1025.0
kp_23_10000,bruteforce,39.569457054138184,9767.0
kp_23_10000,greedy,4.100799560546875e-05,9751.0
kp_23_10000,dynamic,0.0796771049499511,9767.0
kp_24_6404180,bruteforce,79.41936492919922,13549094.0
kp_24_6404180,greedy,5.7220458984375e-05,13415886.0
kp_24_6404180,dynamic,56.87883114814758,13549094.0
kp_4_11,bruteforce,0.0001020431518554,23.0
kp_4_11,greedy,3.314018249511719e-05,16.0
kp_4_11,dynamic,2.264976501464844e-05,23.0
kp_4_20,bruteforce,0.0001032352447509,35.0
kp_4_20,greedy,3.504753112792969e-05,35.0
kp_4_20,dynamic,3.504753112792969e-05,35.0
kp_5_80,bruteforce,0.0001740455627441,130.0
kp_5_80,greedy,3.4809112548828125e-05,130.0
kp_5_80,dynamic,0.0001502037048339,130.0
kp_7_50,bruteforce,0.0006332397460937,107.0
kp_7_50,greedy,3.695487976074219e-05,102.0
kp_7_50,dynamic,0.0001358985900878,107.0
kp_10_269,bruteforce,0.0050859451293945,295.0
kp_10_269,greedy,3.5762786865234375e-05,294.0
kp_10_269,dynamic,0.0009939670562744,295.0
kp_10_60,bruteforce,0.00484299659729,52.0
kp_10_60,greedy,3.600120544433594e-05,52.0
kp_10_60,dynamic,0.0002369880676269,52.0
kp_20_878,bruteforce,5.108603239059448,1024.0
kp_20_878,greedy,3.886222839355469e-05,1018.0
kp_20_878,dynamic,0.0063300132751464,1024.0
kp_20_879,bruteforce,5.021775722503662,1025.0
kp_20_879,greedy,3.981590270996094e-05,1019.0
kp_20_879,dynamic,0.0072488784790039,1025.0
kp_23_10000,bruteforce,42.11868691444397,9767.0
kp_23_10000,greedy,4.506111145019531e-05,9751.0
kp_23_10000,dynamic,0.0922207832336425,9767.0
kp_24_6404180,bruteforce,86.39633679389954,13549094.0
kp_24_6404180,greedy,4.00543212890625e-05,13415886.0
kp_24_6404180,dynamic,60.578773021698,13549094.0
kp_4_11,bruteforce,0.0001280307769775,23.0
kp_4_11,greedy,5.0067901611328125e-05,16.0
kp_4_11,dynamic,2.384185791015625e-05,23.0
kp_4_20,bruteforce,0.0001192092895507,35.0
kp_4_20,greedy,3.62396240234375e-05,35.0
kp_4_20,dynamic,4.1961669921875e-05,35.0
kp_5_80,bruteforce,0.0001990795135498,130.0
kp_5_80,greedy,4.410743713378906e-05,130.0
kp_5_80,dynamic,0.0001649856567382,130.0
kp_7_50,bruteforce,0.0006730556488037,107.0
kp_7_50,greedy,3.5762786865234375e-05,102.0
kp_7_50,dynamic,0.0001301765441894,107.0
kp_10_269,bruteforce,0.0056056976318359,295.0
kp_10_269,greedy,4.410743713378906e-05,294.0
kp_10_269,dynamic,0.0010938644409179,295.0
