file,algorithm,time,max_value
knapPI_1_10000_1000_1,greedy,0.0029261112213134,563605.0
knapPI_1_10000_1000_1,dynamic,204.18898916244507,563647.0
knapPI_1_1000_1000_1,greedy,0.0003089904785156,54386.0
knapPI_1_1000_1000_1,dynamic,1.906562089920044,54503.0
knapPI_1_100_1000_1,greedy,4.601478576660156e-05,8817.0
knapPI_1_100_1000_1,dynamic,0.0253999233245849,9147.0
knapPI_1_2000_1000_1,greedy,0.0006651878356933,110547.0
knapPI_1_2000_1000_1,dynamic,7.939878940582275,110625.0
knapPI_1_200_1000_1,greedy,7.891654968261719e-05,11227.0
knapPI_1_200_1000_1,dynamic,0.0598189830780029,11238.0
knapPI_1_5000_1000_1,greedy,0.0015270709991455,276379.0
knapPI_1_5000_1000_1,dynamic,52.26106095314026,276457.0
knapPI_1_500_1000_1,greedy,0.000180959701538,28834.0
knapPI_1_500_1000_1,dynamic,0.5479271411895752,28857.0
knapPI_2_10000_1000_1,greedy,0.0032899379730224,90200.0
knapPI_2_10000_1000_1,dynamic,213.85845184326172,90204.0
knapPI_2_1000_1000_1,greedy,0.0003039836883544,9046.0
knapPI_2_1000_1000_1,dynamic,1.8063127994537351,9052.0
knapPI_2_100_1000_1,greedy,4.601478576660156e-05,1487.0
knapPI_2_100_1000_1,dynamic,0.0323970317840576,1514.0
knapPI_2_2000_1000_1,greedy,0.0005781650543212,18038.0
knapPI_2_2000_1000_1,dynamic,7.9959716796875,18051.0
knapPI_2_200_1000_1,greedy,7.224082946777344e-05,1604.0
knapPI_2_200_1000_1,dynamic,0.0579071044921875,1634.0
knapPI_2_5000_1000_1,greedy,0.0014359951019287,44351.0
knapPI_2_5000_1000_1,dynamic,51.54123020172119,44356.0
knapPI_2_500_1000_1,greedy,0.0001518726348876,4552.0
knapPI_2_500_1000_1,dynamic,0.4755518436431885,4566.0
knapPI_3_10000_1000_1,greedy,0.0029401779174804,146888.0
knapPI_3_10000_1000_1,dynamic,202.43588304519653,146919.0
knapPI_3_1000_1000_1,greedy,0.0003080368041992,14374.0
knapPI_3_1000_1000_1,dynamic,1.8612496852874756,14390.0
knapPI_3_100_1000_1,greedy,4.696846008300781e-05,2375.0
knapPI_3_100_1000_1,dynamic,0.0272819995880126,2397.0
knapPI_3_2000_1000_1,greedy,0.0005958080291748,28827.0
knapPI_3_2000_1000_1,dynamic,7.515582799911499,28919.0
knapPI_3_200_1000_1,greedy,7.486343383789062e-05,2649.0
knapPI_3_200_1000_1,dynamic,0.0590882301330566,2697.0
knapPI_3_5000_1000_1,greedy,0.0014660358428955,72446.0
knapPI_3_5000_1000_1,dynamic,48.97751998901367,72505.0
knapPI_3_500_1000_1,greedy,0.0001578330993652,7098.0
knapPI_3_500_1000_1,dynamic,0.465768814086914,7117.0
knapPI_1_10000_1000_1,greedy,0.0029146671295166,563605.0
knapPI_1_10000_1000_1,dynamic,202.59882307052612,563647.0
knapPI_1_1000_1000_1,greedy,0.0003077983856201,54386.0
knapPI_1_1000_1000_1,dynamic,1.831752061843872,54503.0
knapPI_1_100_1000_1,greedy,4.887580871582031e-05,8817.0
knapPI_1_100_1000_1,dynamic,0.0346908569335937,9147.0
knapPI_1_2000_1000_1,greedy,0.0005769729614257,110547.0
knapPI_1_2000_1000_1,dynamic,7.733350276947021,110625.0
knapPI_1_200_1000_1,greedy,7.200241088867188e-05,11227.0
knapPI_1_200_1000_1,dynamic,0.0578198432922363,11238.0
knapPI_1_5000_1000_1,greedy,0.0014560222625732,276379.0
knapPI_1_5000_1000_1,dynamic,49.43920016288757,276457.0
knapPI_1_500_1000_1,greedy,0.0001590251922607,28834.0
knapPI_1_500_1000_1,dynamic,0.45632004737854,28857.0
knapPI_2_10000_1000_1,greedy,0.0029089450836181,90200.0
knapPI_2_10000_1000_1,dynamic,200.1687049865723,90204.0
knapPI_2_1000_1000_1,greedy,0.0002901554107666,9046.0
knapPI_2_1000_1000_1,dynamic,1.8129868507385256,9052.0
knapPI_2_100_1000_1,greedy,4.6253204345703125e-05,1487.0
knapPI_2_100_1000_1,dynamic,0.0304992198944091,1514.0
knapPI_2_2000_1000_1,greedy,0.0005860328674316,18038.0
knapPI_2_2000_1000_1,dynamic,7.849102020263672,18051.0
knapPI_2_200_1000_1,greedy,7.104873657226562e-05,1604.0
knapPI_2_200_1000_1,dynamic,0.0532341003417968,1634.0
knapPI_2_5000_1000_1,greedy,0.0014352798461914,44351.0
knapPI_2_5000_1000_1,dynamic,49.17741394042969,44356.0
knapPI_2_500_1000_1,greedy,0.0001530647277832,4552.0
knapPI_2_500_1000_1,dynamic,0.4196517467498779,4566.0
knapPI_3_10000_1000_1,greedy,0.0029177665710449,146888.0
knapPI_3_10000_1000_1,dynamic,200.66095495224,146919.0
knapPI_3_1000_1000_1,greedy,0.0003161430358886,14374.0
knapPI_3_1000_1000_1,dynamic,1.819532871246338,14390.0
knapPI_3_100_1000_1,greedy,4.57763671875e-05,2375.0
